# t theta omega E_kin E_pot E_tot
2.91000 -0.28097 -2.46282 3.03275 0.38469 3.41744
2.92000 -0.30550 -2.44127 2.97990 0.45422 3.43412
2.93000 -0.32979 -2.41757 2.92232 0.52866 3.45098
2.94000 -0.35384 -2.39175 2.86024 0.60774 3.46798
2.95000 -0.37762 -2.36386 2.79391 0.69116 3.48507
2.96000 -0.40111 -2.33392 2.72359 0.77864 3.50223
2.97000 -0.42429 -2.30198 2.64956 0.86985 3.51940
2.98000 -0.44714 -2.26809 2.57211 0.96446 3.53657
2.99000 -0.46965 -2.23228 2.49153 1.06215 3.55368
3.00000 -0.49178 -2.19460 2.40813 1.16256 3.57069
3.01000 -0.51353 -2.15510 2.32223 1.26535 3.58758
3.02000 -0.53488 -2.11383 2.23415 1.37016 3.60431
3.03000 -0.55580 -2.07084 2.14419 1.47663 3.62083
3.04000 -0.57629 -2.02618 2.05270 1.58441 3.63711
3.05000 -0.59632 -1.97989 1.95999 1.69314 3.65313
3.06000 -0.61588 -1.93204 1.86639 1.80245 3.66884
3.07000 -0.63496 -1.88267 1.77222 1.91200 3.68422
3.08000 -0.65353 -1.83183 1.67781 2.02143 3.69924
3.09000 -0.67159 -1.77958 1.58346 2.13040 3.71386
3.10000 -0.68912 -1.72597 1.48949 2.23857 3.72806
3.11000 -0.70610 -1.67105 1.39621 2.34562 3.74182
3.12000 -0.72254 -1.61487 1.30391 2.45121 3.75511
3.13000 -0.73840 -1.55749 1.21288 2.55504 3.76792
3.14000 -0.75368 -1.49894 1.12341 2.65680 3.78021
3.15000 -0.76837 -1.43929 1.03578 2.75620 3.79197
3.16000 -0.78246 -1.37858 0.95024 2.85295 3.80320
3.17000 -0.79594 -1.31686 0.86706 2.94680 3.81386
3.18000 -0.80880 -1.25418 0.78648 3.03748 3.82396
3.19000 -0.82102 -1.19058 0.70874 3.12474 3.83348
3.20000 -0.83261 -1.12611 0.63406 3.20836 3.84241
3.21000 -0.84354 -1.06081 0.56266 3.28810 3.85076
3.22000 -0.85382 -0.99473 0.49475 3.36376 3.85851
3.23000 -0.86343 -0.92791 0.43051 3.43515 3.86566
3.24000 -0.87238 -0.86040 0.37015 3.50208 3.87223
3.25000 -0.88064 -0.79223 0.31382 3.56438 3.87820
3.26000 -0.88822 -0.72345 0.26169 3.62189 3.88358
3.27000 -0.89511 -0.65409 0.21392 3.67447 3.88839
3.28000 -0.90130 -0.58420 0.17065 3.72199 3.89263
3.29000 -0.90679 -0.51382 0.13200 3.76431 3.89632
3.30000 -0.91157 -0.44297 0.09811 3.80134 3.89946
3.31000 -0.91565 -0.37171 0.06909 3.83298 3.90207
3.32000 -0.91901 -0.30007 0.04502 3.85915 3.90417
3.33000 -0.92165 -0.22809 0.02601 3.87977 3.90578
3.34000 -0.92357 -0.15579 0.01214 3.89478 3.90692
3.35000 -0.92476 -0.08324 0.00346 3.90414 3.90760
3.36000 -0.92523 -0.01045 0.00005 3.90781 3.90786
3.37000 -0.92497 0.06254 0.00196 3.90577 3.90773
3.38000 -0.92398 0.13567 0.00920 3.89801 3.90721
3.39000 -0.92226 0.20892 0.02182 3.88453 3.90636
3.40000 -0.91980 0.28225 0.03983 3.86535 3.90518
3.41000 -0.91661 0.35562 0.06323 3.84049 3.90372
3.42000 -0.91269 0.42898 0.09201 3.81000 3.90201
3.43000 -0.90803 0.50230 0.12615 3.77392 3.90008
3.44000 -0.90264 0.57553 0.16562 3.73233 3.89795
3.45000 -0.89652 0.64864 0.21036 3.68531 3.89568
3.46000 -0.88967 0.72156 0.26033 3.63296 3.89328
3.47000 -0.88209 0.79427 0.31543 3.57537 3.89081
3.48000 -0.87379 0.86671 0.37560 3.51268 3.88828
3.49000 -0.86476 0.93884 0.44071 3.44503 3.88574
3.50000 -0.85501 1.01060 0.51066 3.37257 3.88323
3.51000 -0.84455 1.08195 0.58531 3.29547 3.88078
3.52000 -0.83337 1.15283 0.66451 3.21392 3.87843
3.53000 -0.82149 1.22318 0.74809 3.12812 3.87621
3.54000 -0.80891 1.29296 0.83587 3.03829 3.87416
3.55000 -0.79564 1.36210 0.92766 2.94466 3.87232
3.56000 -0.78167 1.43055 1.02324 2.84748 3.87072
3.57000 -0.76703 1.49825 1.12237 2.74702 3.86939
3.58000 -0.75171 1.56513 1.22481 2.64357 3.86838
3.59000 -0.73573 1.63112 1.33028 2.53743 3.86771
3.60000 -0.71909 1.69618 1.43851 2.42890 3.86741
